,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_max_2304400,umid_min_2304400,pressao_min_2304400,casos_2311702,casos_est_2311702,casos_est_min_2311702,casos_est_max_2311702,p_rt1_2311702,p_inc100k_2311702,temp_min_2311702,temp_max_2311702,umid_min_2311702,pressao_min_2311702,casos_2307650,casos_est_2307650,casos_est_min_2307650,casos_est_max_2307650,p_rt1_2307650,p_inc100k_2307650,temp_min_2307650,temp_max_2307650,umid_min_2307650,pressao_min_2307650,casos_2306306,casos_est_2306306,casos_est_min_2306306,casos_est_max_2306306,p_rt1_2306306,p_inc100k_2306306,temp_min_2306306,temp_max_2306306,umid_min_2306306,pressao_min_2306306
2010-01-03,56,56.0,56,56,0.0,2.08441,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,2,2.0,2,2,0.0,0.871619,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0
2010-01-10,55,55.0,55,55,0.0,2.04719,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,1,1.0,1,1,0.0,5.43922,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,3,3.0,3,3,0.0,1.30743,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,1,1.0,1,1,0.0,1.88441,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714
2010-01-17,77,77.0,77,77,0.0,2.86606,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,6,6.0,6,6,0.0,2.61486,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857
2010-01-24,56,56.0,56,56,0.0,2.08441,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,1,1.0,1,1,0.0,5.43922,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,4,4.0,4,4,0.0,1.74324,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,0,0.0,0,0,0.0,0.0,24.714285714285715,30.857142857142858,54.142857142857146,1009.0
2010-01-31,114,114.0,114,114,0.0,4.24326,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,5,5.0,5,5,0.0,2.17905,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429
2010-02-07,45,45.0,45,45,0.00348589,1.67497,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,3,3.0,3,3,0.269954,1.30743,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857
2010-02-14,81,81.0,81,81,0.572388,3.01495,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,0,0.0,0,0,0.0,0.0,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,3,3.0,3,3,0.318756,1.30743,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,0,0.0,0,0,0.0,0.0,24.857142857142858,30.428571428571427,63.0,1007.5714285714286
2010-02-21,56,56.0,56,56,0.0835411,2.08441,25.0,30.857142857142858,59.857142857142854,1009.0,0,0.0,0,0,0.0,0.0,25.0,30.857142857142858,59.857142857142854,1009.0,7,7.0,7,7,0.850602,3.05067,25.0,30.857142857142858,59.857142857142854,1009.0,0,0.0,0,0,0.0,0.0,25.0,30.857142857142858,59.857142857142854,1009.0
2010-02-28,105,105.0,105,105,0.997107,3.90827,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,10,10.0,10,10,0.936622,4.3581,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857
2010-03-07,61,61.0,61,61,0.138113,2.27052,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,6,6.0,6,6,0.447883,2.61486,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857
